animal_type,primary_color,sex,dob,intake_date,intake_condition,intake_type,intake_subtype,outcome_date,crossing,outcome_type,outcome_is_dead,geopoint,adopted,age,month,season
dog,white,Female,2013-02-21,2023-02-20,ill mild,stray,otc,2023-02-26,"[2600 BLK LONG BEACH BLVD, LONG BEACH CA, 90806",euthanasia,TRUE,"33.8047935, -118.1889261",No,12,02,Winter
cat,black,Female,2014-12-18,2018-12-18,injured  severe,stray,field,2019-01-13,"0 BLK W ZANE ST, LONG BEACH, CA 90805",rescue,FALSE,"33.8495009, -118.1949053",No,10,01,Winter
rabbit,black,Neutered,2023-04-19,2024-10-18,normal,stray,otc,2024-11-15,00 AQUARIUM WAY LONG BEACH CA 90802,adoption,FALSE,"33.7639859, -118.1944096",Yes,1,11,Fall
other,gray,Unknown,2019-04-12,2019-06-12,under age/weight,wildlife,field,2019-06-12,"00 BLK CORONADO AVE, LONG BEACH, CA 90803",rescue,FALSE,"33.7613739, -118.1544268",No,5,06,Summer
cat,black,Unknown,2017-08-21,2017-09-21,under age/weight,stray,field,2017-09-23,"00 BLK E 69TH WAY, LONG BEACH, CA 90805",rescue,FALSE,"33.8801147, -118.20443",No,7,09,Fall
dog,cream,Spayed,2007-12-15,2024-12-15,aged,owner surrender,otc,2024-12-21,00 BLK PROSPECT AVE LONG BEACH CA 90803,rescue,FALSE,"33.758137, -118.142634",No,17,12,Winter
cat,gray tabby,Female,2015-01-11,2018-01-11,normal,stray,otc,2018-01-17,"00 BLK REDONDO AVE, LONG BEACH, CA 90803",transfer,FALSE,"33.7610023, -118.1526611",No,10,01,Winter
cat,gray tabby,Unknown,2020-08-10,2020-08-12,under age/weight,stray,field,2020-08-13,"00 BLK ROSWELL AVE, LONG BEACH, CA 90803",rescue,FALSE,"33.7590991, -118.1447482",No,4,08,Summer
cat,brown  tabby,Unknown,2018-08-12,2018-09-12,under age/weight,stray,field,2018-09-12,"00 BLK W 16TH ST, LONG BEACH, CA 90813",euthanasia,TRUE,"33.7873122, -118.2086997",No,6,09,Fall
cat,brown  tabby,Unknown,2018-08-12,2018-09-12,under age/weight,stray,field,2018-09-12,"00 BLK W 16TH ST, LONG BEACH, CA 90813",euthanasia,TRUE,"33.7873122, -118.2086997",No,6,09,Fall
dog,brown,Neutered,2023-09-28,2024-09-26,normal,stray,otc,2024-10-03,00 BLK W 52ND ST LONG BEACH CA 90805,rescue,FALSE,"33.8504646, -118.1953063",No,1,10,Fall
dog,brown,Male,2015-12-20,2018-12-20,normal,stray,otc,2018-12-26,"00 BLK W ZANE ST, LONG BEACH, CA 90805",transfer,FALSE,"33.8495009, -118.1949053",No,9,12,Winter
dog,brown,Spayed,2022-06-02,2024-01-03,normal,owner surrender,otc,2024-01-06,00 BLK WELCOME LANE SEAL BEACH CA 90740,rescue,FALSE,"33.747547, -118.1110343",No,2,01,Winter
cat,brown  tabby,Spayed,2021-09-07,2023-09-07,ill mild,stray,otc,2023-12-10,"00 BLOCK E MARKET ST, LONG BEACH CA",adoption,FALSE,"33.8542837, -118.1964921",Yes,3,12,Winter
guinea pig,black,Female,2024-06-25,2024-08-30,normal,owner surrender,otc,2024-09-05,"00 BLOCK VIRGIL WALK,,LONG BEACH CA",adoption,FALSE,"33.75183800000001, -118.1227473",Yes,0,09,Fall
guinea pig,white,Female,2024-06-25,2024-08-30,normal,owner surrender,otc,2024-09-05,"00 BLOCK VIRGIL WALK,,LONG BEACH CA",adoption,FALSE,"33.75183800000001, -118.1227473",Yes,0,09,Fall
cat,gray,Neutered,2018-09-01,2024-05-26,normal,owner surrender,otc,2024-06-08,"00 BLOCK W 47TH ST, LONG BEACH CA",adoption,FALSE,"33.8430309, -118.192467",Yes,6,06,Summer
dog,white,Neutered,2023-04-06,2024-04-06,normal,stray,otc,2024-04-12,"00 BLOCK W 51ST ST, LONG BEACH CA",adoption,FALSE,"33.8487953, -118.1946447",Yes,1,04,Spring
dog,white,Male,2022-12-01,2023-03-16,normal,owner surrender,field,2023-03-16,"00 BLOCK W PLEASANT ST, LONG BEACH CA",transfer,FALSE,"33.846061, -118.1936055",No,2,03,Spring
dog,tricolor,Male,2023-01-16,2023-03-16,normal,owner surrender,field,2023-03-16,"00 BLOCK W PLEASANT ST, LONG BEACH CA",transfer,FALSE,"33.846061, -118.1936055",No,2,03,Spring
dog,brown,Male,2022-12-01,2023-03-16,normal,owner surrender,field,2023-03-16,"00 BLOCK W PLEASANT ST, LONG BEACH CA",transfer,FALSE,"33.846061, -118.1936055",No,2,03,Spring
wild,gray,Unknown,2016-01-29,2019-01-29,injured  severe,wildlife,field,2019-01-29,"00 E MOUNTAIN VIEW ST, LONG BEACH, CA 90805",euthanasia,TRUE,"33.8517366, -118.1956021",No,9,01,Winter
cat,brown  tabby,Unknown,2017-05-25,2017-06-25,under age/weight,stray,field,2017-06-25,"1 BLK W TRAFFORD ST, LONG BEACH, CA 90805",euthanasia,TRUE,"33.8685157, -118.2012518",No,7,06,Summer
cat,brown  tabby,Male,2014-01-11,2018-01-11,injured  severe,stray,field,2018-01-11,"1 BLK W ZANE ST, LONG BEACH, CA 90805",died,TRUE,"33.8495009, -118.1949053",No,11,01,Winter
bird,white,Unknown,2021-05-24,2022-05-24,injured  mild,stray,field,2022-05-26,"1 JUPINERO AVE, LONG BEACH, CA 90803",adoption,FALSE,"33.764574, -118.1666584",Yes,3,05,Spring
bird,white,Unknown,2020-01-15,2021-01-15,normal,stray,field,2021-01-22,"10 69TH PL, LONG BEACH, CA 90803",rescue,FALSE,"33.7461607, -118.1189419",No,5,01,Winter
